To Date,Battery (%),R. Humidity (%),Light (Lux),PM₂.₅ (µg/m³ ),PM₁₀ (µg/m³ ),PM₁ (µg/m³ ),PM₁₀₀ (µg/m³ ),Temperature (°C),UV ( Index),Wind Direction (degree),Wind Speed (m/s)
1/4/2022 1:00:00,100.00,34.82,4.00,36.42,66.01,17.57,90.03,17.70,0.02,169.06,2.28
1/4/2022 2:00:00,100.00,34.20,4.00,34.18,61.91,16.48,85.67,17.35,0.02,220.88,0.64
1/4/2022 3:00:00,100.00,35.52,4.00,37.20,72.18,16.63,102.59,16.64,0.02,264.61,0.65
1/4/2022 4:00:00,100.00,38.52,4.00,38.86,74.11,17.98,105.41,15.43,0.02,203.24,0.30
1/4/2022 5:00:00,100.00,39.08,4.00,36.60,64.71,17.92,88.20,14.95,0.02,163.42,1.95
1/4/2022 6:00:00,100.00,38.42,4.00,37.04,69.51,17.11,97.07,14.43,0.02,155.34,2.37
1/4/2022 7:00:00,95.00,39.61,4.00,42.67,85.79,18.23,121.73,13.58,0.02,176.71,2.23
1/4/2022 8:00:00,84.00,40.38,4.00,46.60,101.08,18.66,145.85,12.96,0.02,172.38,2.54
1/4/2022 9:00:00,78.33,40.61,73.58,86.19,236.40,27.64,361.41,12.87,0.02,163.08,1.44
1/4/2022 10:00:00,80.17,39.82,"3,110.80",46.50,102.32,19.69,153.13,13.27,0.32,181.39,1.85
1/4/2022 11:00:00,96.50,36.28,"10,428.99",48.73,108.77,20.60,158.35,15.70,0.49,169.84,1.57
1/4/2022 12:00:00,100.00,29.81,"36,798.42",44.99,90.15,21.64,126.59,20.85,0.05,161.80,0.89
1/4/2022 13:00:00,100.00,26.25,"63,424.96",44.78,80.18,22.99,110.14,23.78,0.05,153.64,1.44
1/4/2022 14:00:00,100.00,24.74,"67,607.86",44.25,82.57,22.41,118.89,24.88,0.13,119.73,2.12
1/4/2022 15:00:00,100.00,23.29,"64,404.47",41.82,79.89,20.68,117.08,25.99,0.14,140.48,2.12
1/4/2022 16:00:00,100.00,22.68,"62,381.99",40.22,69.63,20.40,96.68,26.42,0.15,148.28,2.31
1/4/2022 17:00:00,100.00,21.16,"16,526.23",37.84,66.08,19.89,92.44,26.68,0.46,119.02,2.27
1/4/2022 18:00:00,100.00,18.38,"13,054.52",35.05,57.68,18.81,79.44,28.53,0.50,129.81,1.68
1/4/2022 19:00:00,100.00,18.13,"15,273.20",32.88,50.77,18.25,66.11,27.99,0.28,205.59,1.06
1/4/2022 20:00:00,100.00,23.21,"7,716.38",38.62,70.09,19.80,99.35,26.37,0.36,163.37,1.95
1/4/2022 21:00:00,100.00,32.99,"2,092.26",39.32,83.09,18.03,115.99,22.64,0.37,184.00,2.93
1/4/2022 22:00:00,100.00,38.13,35.57,32.31,61.88,15.53,87.14,20.90,0.02,211.48,1.25
1/4/2022 23:00:00,100.00,49.36,4.00,32.28,118.43,12.73,202.44,17.85,0.02,203.30,2.00
2/4/2022 0:00:00,100.00,44.53,1.33,19.81,32.35,10.77,42.56,17.99,0.02,161.83,2.05
2/4/2022 1:00:00,100.00,49.59,2.00,28.33,41.37,14.16,49.42,17.02,0.02,196.05,0.92
2/4/2022 2:00:00,100.00,46.08,0.00,27.28,43.38,14.33,55.71,17.26,0.02,267.19,0.99
2/4/2022 3:00:00,100.00,46.68,1.33,29.52,60.51,13.14,88.98,16.81,0.02,237.96,1.00
2/4/2022 4:00:00,100.00,47.07,2.00,27.28,52.38,12.82,74.44,16.29,0.02,188.36,0.76
2/4/2022 5:00:00,100.00,52.60,2.67,27.04,45.45,14.32,61.00,14.66,0.02,208.46,0.46
2/4/2022 6:00:00,100.00,52.29,4.00,26.30,42.23,12.45,55.68,13.94,0.02,192.28,0.48
2/4/2022 7:00:00,92.00,51.63,4.00,127.80,461.57,24.51,673.62,14.27,0.02,181.25,1.27
2/4/2022 8:00:00,83.33,53.38,4.00,70.70,223.64,17.88,346.84,14.14,0.02,162.50,1.25
2/4/2022 9:00:00,78.50,54.95,83.80,29.80,55.16,13.91,80.41,13.48,0.02,177.64,0.79
2/4/2022 10:00:00,79.17,55.58,"2,877.22",32.18,68.36,14.96,105.52,14.02,0.36,227.01,0.93
2/4/2022 11:00:00,94.83,48.78,"9,457.49",31.51,62.20,14.92,90.07,16.14,0.45,162.77,1.38
2/4/2022 12:00:00,100.00,42.56,"38,618.86",30.78,58.56,14.29,82.34,18.63,0.03,134.13,2.01
2/4/2022 13:00:00,100.00,39.32,"66,084.58",31.45,62.92,14.40,89.03,20.47,0.05,146.01,2.36
2/4/2022 14:00:00,100.00,33.12,"63,508.42",29.73,52.35,14.39,71.25,23.90,0.11,152.90,1.82
2/4/2022 15:00:00,100.00,28.05,"60,023.87",27.27,57.68,13.48,88.85,24.97,0.12,131.82,2.65
2/4/2022 16:00:00,100.00,23.25,"67,661.16",23.38,42.33,12.53,62.28,26.39,0.16,115.64,2.09
2/4/2022 17:00:00,100.00,23.91,"21,980.88",22.98,40.35,12.39,58.39,26.86,0.34,124.71,2.17
2/4/2022 18:00:00,100.00,23.86,"15,820.92",21.17,39.35,10.99,57.71,26.55,0.51,107.34,2.59
2/4/2022 19:00:00,100.00,22.70,"9,885.91",18.79,31.48,10.66,43.99,27.24,0.64,138.37,1.69
2/4/2022 20:00:00,100.00,23.33,"8,222.76",18.14,31.50,9.57,45.05,26.49,0.68,105.05,2.18
2/4/2022 21:00:00,100.00,25.54,"3,787.29",16.29,28.67,8.71,39.87,24.47,0.31,132.84,1.85
2/4/2022 22:00:00,100.00,28.15,30.67,15.85,26.58,8.80,35.64,22.58,0.02,187.36,1.60
2/4/2022 23:00:00,100.00,35.33,3.33,16.15,27.47,8.86,37.72,20.05,0.02,199.86,2.00
3/4/2022 0:00:00,100.00,36.13,4.00,14.51,22.36,7.22,29.08,18.49,0.02,183.88,1.74
3/4/2022 1:00:00,100.00,41.56,3.33,15.06,24.18,8.52,32.13,17.54,0.02,202.65,1.51
3/4/2022 2:00:00,100.00,46.74,4.00,18.37,34.21,9.54,48.47,16.95,0.02,201.43,1.49
3/4/2022 3:00:00,100.00,49.40,4.00,18.97,34.73,10.94,48.80,16.61,0.02,190.29,1.64
3/4/2022 4:00:00,100.00,50.84,4.00,18.60,32.31,10.96,44.08,16.33,0.02,205.89,1.55
3/4/2022 5:00:00,100.00,52.50,4.00,18.86,32.70,10.21,45.90,16.04,0.02,178.64,1.76
3/4/2022 6:00:00,100.00,55.51,4.00,19.54,31.59,10.42,42.28,15.20,0.02,139.37,1.59
3/4/2022 7:00:00,99.00,59.89,4.00,21.88,37.12,12.58,50.72,14.64,0.02,198.43,1.43
3/4/2022 8:00:00,88.83,63.49,4.00,25.71,43.13,15.61,58.73,14.34,0.02,205.13,1.70
3/4/2022 9:00:00,81.17,65.92,90.08,26.95,42.86,17.16,57.14,13.96,0.02,137.28,1.81
3/4/2022 10:00:00,81.50,67.55,"2,967.56",29.64,46.85,19.85,62.14,14.05,0.36,131.76,1.72
3/4/2022 11:00:00,95.50,60.11,"9,864.24",34.16,82.89,19.39,129.73,16.38,0.47,171.57,1.24
3/4/2022 12:00:00,100.00,50.95,"39,578.65",29.35,56.64,17.01,79.93,19.15,0.03,153.27,1.88
3/4/2022 13:00:00,100.00,45.20,"64,748.80",27.11,52.32,16.03,73.69,20.87,0.12,138.29,2.43
3/4/2022 14:00:00,100.00,39.57,"60,695.85",24.66,42.67,15.13,56.81,22.06,0.11,123.64,2.93
3/4/2022 15:00:00,100.00,29.99,"52,362.32",21.05,33.39,13.22,44.15,24.97,0.16,145.01,2.09
3/4/2022 16:00:00,100.00,24.86,"61,659.87",19.75,28.90,12.67,37.94,26.82,0.18,151.99,1.82
3/4/2022 17:00:00,100.00,25.34,"16,552.71",20.70,30.88,14.03,40.82,26.52,0.71,152.88,1.54
3/4/2022 18:00:00,100.00,24.14,"17,290.12",22.61,36.67,15.22,52.76,27.33,0.33,148.08,2.08
3/4/2022 19:00:00,100.00,25.05,"15,639.12",21.58,33.17,14.59,45.44,25.98,0.32,141.64,1.64
3/4/2022 20:00:00,100.00,28.50,"7,668.30",19.80,31.60,12.80,42.16,23.74,0.44,125.62,0.79
3/4/2022 21:00:00,100.00,39.37,"1,709.10",29.65,53.85,19.53,74.33,21.58,0.36,224.47,3.21
3/4/2022 22:00:00,100.00,53.39,47.84,31.91,58.25,20.50,80.87,18.52,0.02,172.11,3.35
3/4/2022 23:00:00,100.00,64.86,3.00,30.08,42.63,21.59,53.74,16.17,0.02,194.48,0.83
4/4/2022 0:00:00,100.00,62.79,1.33,29.23,42.71,21.86,57.11,16.16,0.02,176.89,0.77
4/4/2022 1:00:00,100.00,56.90,0.00,27.76,49.18,19.83,73.66,16.31,0.02,238.93,0.89
